passenger,start,end,time
0,2,3,18
1,0,2,25
2,3,4,25
3,1,2,0
4,2,4,23
5,2,3,24
6,3,4,16
7,2,3,27
8,4,5,22
9,0,2,30
10,1,4,21
11,3,4,32
12,3,4,22
13,3,5,16
14,3,4,22
15,3,4,31
16,4,5,12
17,2,3,21
18,3,4,28
19,4,5,19
20,2,5,18
21,3,4,16
22,2,5,25
23,1,2,20
24,0,4,7
25,1,5,16
26,4,5,24
27,1,2,29
28,1,4,17
29,3,4,21
30,1,3,24
31,2,4,19
32,0,4,17
33,3,5,18
34,1,5,31
35,0,1,16
36,3,4,18
37,1,2,12
38,4,5,23
39,4,5,23
40,0,3,19
41,2,5,29
42,4,5,16
43,2,3,25
44,2,4,20
45,4,5,17
46,1,3,17
47,0,3,26
48,1,4,13
49,4,5,23
50,1,4,16
51,1,2,21
52,4,5,16
53,0,1,16
54,4,5,20
55,3,5,22
56,2,5,14
57,0,5,27
58,3,5,16
59,0,5,20
60,4,5,23
61,1,2,20
62,0,2,19
63,2,4,12
64,4,5,29
65,4,5,16
66,3,5,14
67,1,4,18
68,4,5,23
69,2,5,23
70,4,5,28
71,4,5,23
72,3,5,24
73,4,5,15
74,1,4,18
75,2,3,16
76,4,5,14
77,4,5,26
78,4,5,15
79,2,4,21
80,4,5,23
81,3,5,20
82,4,5,29
83,0,2,29
84,1,4,24
85,2,4,22
86,0,2,26
87,1,3,29
88,2,5,24
89,3,5,17
90,3,4,25
91,2,4,19
92,3,4,17
93,4,5,26
94,3,5,23
95,4,5,20
96,3,5,22
97,2,3,18
98,3,4,14
99,2,5,21
100,2,5,27
101,1,5,22
102,0,4,25
103,1,5,26
104,0,1,23
105,3,4,28
106,3,4,17
107,4,5,20
108,0,4,18
109,4,5,18
110,0,4,21
111,4,5,22
112,4,5,24
113,1,5,16
114,1,5,24
115,0,3,21
116,2,4,17
117,4,5,21
118,1,2,19
119,2,5,17
120,4,5,25
121,4,5,27
122,2,4,26
123,0,1,24
124,1,2,21
125,4,5,25
126,0,3,16
127,2,3,8
128,1,3,20
129,3,5,21
130,1,5,17
131,3,5,27
132,3,4,12
133,1,2,20
134,2,4,21
135,0,5,18
136,2,3,18
137,3,5,23
138,0,2,14
139,4,5,19
140,0,4,29
141,2,3,23
142,1,2,22
143,1,3,27
144,2,5,26
145,1,3,25
146,3,5,20
147,3,5,9
148,0,5,9
149,4,5,25
150,0,5,22
151,0,4,16
152,4,5,25
153,0,4,19
154,1,2,27
155,1,5,20
156,0,4,24
157,1,3,25
158,1,2,22
159,2,5,19
160,3,4,27
161,0,2,26
162,3,4,25
163,0,3,16
164,2,3,23
165,1,2,29
166,0,2,17
167,2,5,21
168,4,5,22
169,2,3,26
170,0,3,16
171,4,5,14
172,1,3,22
173,0,5,26
174,3,4,21
175,0,2,26
176,4,5,17
177,0,2,10
178,4,5,30
179,3,5,17
180,4,5,26
181,0,2,23
182,1,5,18
183,1,3,19
184,4,5,21
185,3,5,13
186,4,5,24
187,2,3,19
188,0,5,21
189,0,1,14
190,1,4,24
191,4,5,18
192,4,5,19
193,4,5,20
194,3,5,21
195,3,5,29
196,1,3,19
197,4,5,20
198,2,4,22
199,1,3,22
200,4,5,25
201,1,5,24
202,3,4,27
203,1,3,27
204,3,4,26
205,3,4,21
206,0,2,19
207,4,5,22
208,0,2,12
209,4,5,18
210,3,5,15
211,4,5,23
212,4,5,19
213,3,4,9
214,2,5,20
215,2,4,18
216,1,4,20
217,3,4,23
218,3,5,11
219,4,5,19
220,0,1,17
221,1,2,20
222,3,5,9
223,4,5,23
224,3,5,30
