passenger,start,end,time
0,2,5,948
1,2,3,127
2,2,3,682
3,1,3,703
4,0,5,106
5,2,4,412
6,2,4,71
7,0,2,456
8,2,3,936
9,1,4,86
10,0,2,108
11,0,2,221
12,0,4,515
13,1,2,400
14,0,1,509
15,2,3,709
16,1,5,638
17,0,4,158
18,0,3,574
19,2,3,851
20,2,5,960
21,2,4,270
22,2,4,635
23,1,2,668
24,0,2,295
25,1,5,489
26,0,1,298
27,1,5,494
28,2,5,601
29,0,1,611
30,2,3,619
31,0,1,804
32,0,4,620
33,1,5,751
34,2,4,676
35,0,5,120
36,0,5,692
37,2,3,668
38,1,4,325
39,0,2,12
40,1,4,252
41,1,5,940
42,2,5,6
43,2,3,210
44,1,5,766
45,2,5,291
46,2,3,605
47,2,3,308
48,1,3,477
49,0,3,247
50,2,5,266
51,0,1,257
52,1,5,569
53,0,3,421
54,2,4,255
55,1,4,734
56,2,3,397
57,1,3,444
58,0,4,950
59,2,5,388
60,0,2,402
61,2,3,544
62,1,2,109
63,0,5,892
64,1,2,257
65,2,3,677
66,1,3,765
67,0,4,948
68,0,5,686
69,0,2,807
70,1,2,115
71,0,5,626
72,1,2,269
73,1,4,198
74,2,4,33
75,1,3,475
76,1,5,476
77,1,5,678
78,1,5,16
79,0,2,138
80,1,2,828
81,1,2,381
82,1,2,602
83,0,5,164
84,2,5,678
85,0,3,518
86,1,5,732
87,2,4,826
88,0,3,942
89,0,4,710
90,1,3,254
91,1,5,53
92,1,2,956
93,2,4,525
94,2,5,412
95,2,3,789
96,2,3,156
97,0,1,319
98,0,3,578
99,1,2,207
100,2,5,896
101,2,5,791
102,0,5,144
103,2,3,990
104,0,2,983
105,1,3,844
106,2,3,786
107,0,4,74
108,2,5,358
109,0,3,174
110,2,4,562
111,2,4,31
112,0,1,88
113,2,5,301
114,2,5,928
115,2,4,513
116,0,1,262
117,1,3,597
118,1,4,363
119,0,1,522
120,0,2,569
121,1,3,181
122,2,3,141
123,0,1,342
124,2,5,999
125,0,5,311
126,1,2,419
127,1,2,924
128,1,2,940
129,0,3,92
130,1,4,557
131,2,5,404
132,1,4,465
133,2,5,992
134,1,2,990
135,0,2,552
136,2,5,814
137,0,4,594
138,1,4,292
139,1,3,186
140,2,3,650
141,2,3,168
142,1,5,158
143,1,5,238
144,2,4,200
145,2,3,651
146,1,4,975
147,1,2,943
148,2,3,961
149,0,3,140
150,1,5,961
151,2,4,590
152,0,3,121
153,2,5,940
154,0,2,806
155,0,3,77
156,0,5,82
157,0,2,358
158,1,5,836
159,2,4,494
160,2,5,659
161,2,5,511
162,2,4,347
163,0,4,831
164,2,5,537
165,1,3,706
166,2,3,830
167,2,3,302
168,1,2,659
169,2,5,388
170,2,3,618
171,1,5,136
172,0,5,869
173,1,4,496
174,2,4,992
175,2,3,210
176,2,3,362
177,0,4,453
178,2,5,56
179,2,3,800
180,0,4,338
181,2,3,791
182,2,5,879
183,2,3,867
184,2,3,909
185,1,2,412
186,2,3,778
187,0,5,105
188,1,3,803
189,1,3,477
190,0,2,105
191,1,2,160
192,0,5,109
193,1,3,516
194,1,4,54
195,2,5,510
196,1,5,998
197,1,5,587
198,2,3,432
199,2,3,701
200,0,3,706
201,1,2,599
202,0,2,881
203,2,4,421
204,1,5,173
205,0,2,266
206,0,4,710
207,0,1,875
208,1,2,330
209,1,2,653
210,2,5,239
211,0,1,138
212,1,3,46
213,0,2,969
214,2,5,704
215,2,4,815
216,1,3,308
217,0,2,216
218,1,5,502
219,2,5,870
220,0,4,607
221,1,4,429
222,0,5,218
223,1,2,456
224,1,4,604
225,1,4,688
226,1,2,361
227,1,4,1000
228,1,4,182
229,2,5,567
230,0,4,591
231,2,3,243
232,1,4,61
233,0,5,142
234,1,4,38
235,2,5,566
236,2,3,738
237,2,5,548
238,0,5,634
239,1,5,771
