time,num
1,2
3,1
4,1
5,1
6,1
8,1
10,1
12,1
13,3
14,3
16,2
18,1
19,1
20,3
21,1
23,2
25,1
27,2
29,1
30,1
31,2
32,1
33,1
34,3
35,4
36,2
37,4
39,1
40,1
41,1
42,1
44,2
45,2
46,1
47,1
48,1
49,1
50,1
52,1
53,1
54,2
55,2
57,3
59,1
62,1
64,1
65,1
66,2
67,2
70,1
73,2
74,1
75,1
76,1
77,1
79,1
80,1
81,1
82,2
83,1
84,3
85,1
88,2
89,1
90,1
91,1
92,3
95,1
96,1
97,1
98,1
99,1
100,1
101,1
103,2
104,5
105,4
106,3
107,1
108,1
109,2
110,2
112,2
113,1
114,2
115,2
116,1
119,1
120,1
121,1
122,3
123,1
125,1
126,2
129,1
130,1
131,2
132,2
133,1
134,1
135,1
136,1
137,1
138,2
140,1
141,1
142,3
144,4
148,2
149,1
150,1
151,1
152,1
153,2
155,2
157,1
158,2
159,1
160,2
161,2
162,2
164,3
165,2
166,1
172,2
173,2
174,1
177,1
178,2
180,1
181,3
185,1
186,2
188,1
190,2
192,2
193,1
194,1
195,2
196,2
197,4
198,2
200,1
201,1
202,1
203,2
204,5
205,1
208,2
209,1
211,2
212,1
213,1
214,1
216,1
217,1
218,3
219,1
220,2
221,2
222,2
223,1
224,1
225,1
226,1
228,3
229,2
230,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,2
241,1
242,1
244,1
246,1
247,1
248,1
249,2
251,1
252,2
254,1
255,2
257,1
259,2
260,2
261,1
262,4
263,2
264,1
266,3
267,1
268,1
269,1
271,2
272,3
273,4
275,1
276,1
277,1
279,1
281,2
282,2
283,1
284,2
287,4
288,1
289,3
290,2
291,1
293,1
295,2
296,1
297,1
298,2
299,2
300,2
301,1
304,2
305,1
306,1
309,4
310,2
311,2
312,1
314,1
315,4
316,1
318,1
319,2
320,1
321,1
322,1
323,2
324,1
325,2
326,1
328,1
331,1
332,1
334,3
337,1
338,2
339,1
340,1
341,3
342,1
343,1
345,1
346,1
347,1
348,3
350,3
351,1
352,1
353,1
355,1
357,2
358,1
361,1
362,2
363,1
364,1
366,2
367,1
370,3
371,3
372,1
375,1
376,2
381,1
383,2
384,2
385,1
387,1
388,2
389,1
390,3
391,2
392,1
395,1
396,1
397,1
398,1
399,1
400,1
402,1
405,1
406,1
407,2
408,2
411,3
412,2
413,2
414,1
415,1
416,2
417,3
418,1
420,2
421,1
423,1
424,2
426,1
427,2
428,2
430,1
431,1
434,2
435,1
436,4
438,1
439,3
440,1
441,1
442,1
443,2
444,1
445,1
446,2
447,1
448,2
449,2
451,2
452,1
453,3
454,2
455,3
456,5
457,2
458,1
460,2
461,2
464,1
465,2
466,2
467,2
468,1
469,1
470,2
473,2
474,1
475,4
477,2
478,1
479,2
480,3
481,1
484,1
485,4
486,2
487,1
489,2
490,2
493,1
494,4
496,2
497,1
500,4
501,1
505,1
507,2
508,1
509,2
510,2
512,2
514,1
515,3
517,1
518,2
519,1
520,1
521,2
522,2
523,3
524,2
529,2
530,1
532,1
535,2
537,2
538,2
539,3
540,1
541,1
542,2
543,3
544,2
546,2
547,1
549,1
552,3
553,1
555,1
556,1
558,1
559,2
560,1
561,1
562,1
565,2
566,1
567,1
569,1
570,1
571,3
572,2
573,1
574,4
577,4
578,2
579,1
580,2
581,1
582,1
583,2
588,3
589,1
590,1
591,2
592,3
593,2
594,1
595,1
596,2
597,1
598,2
599,2
600,1
602,1
603,1
604,1
605,1
606,1
