time,num
0,2
1,1
2,3
3,1
5,2
6,1
7,2
8,2
9,1
10,1
11,2
12,1
13,1
14,2
15,4
16,1
17,1
18,2
19,1
21,2
22,4
24,3
27,1
28,3
31,1
34,1
35,1
36,1
37,1
38,2
39,4
40,2
41,2
44,2
45,1
46,1
47,2
48,1
52,2
53,5
54,1
55,1
56,2
57,1
59,3
60,5
61,2
62,2
63,2
64,1
65,2
66,1
68,2
71,1
72,2
73,1
74,3
76,1
77,1
79,1
80,1
84,1
85,1
86,2
87,2
88,1
92,2
93,1
94,1
95,2
98,4
99,1
100,2
101,2
102,2
104,1
105,1
107,1
108,2
109,1
111,1
112,1
113,2
115,2
116,2
118,3
119,1
122,1
123,1
126,3
127,1
131,1
135,1
136,3
138,2
139,3
141,1
142,2
144,5
145,2
146,1
147,2
148,1
149,1
150,1
151,2
154,3
156,1
158,2
159,2
160,2
161,2
162,2
163,1
164,2
166,1
167,2
168,3
169,1
170,1
173,3
174,1
176,2
177,4
179,4
180,1
181,1
182,2
183,3
185,1
186,6
187,1
188,1
190,1
192,1
194,2
195,1
196,1
198,2
199,2
200,2
201,3
202,2
206,1
207,2
210,1
212,1
214,1
215,3
217,3
218,1
219,1
220,2
221,2
222,2
223,5
226,2
230,1
232,2
233,4
234,1
236,2
238,3
239,1
240,1
241,4
242,4
243,3
244,2
247,1
250,1
251,1
252,2
253,1
254,2
256,2
257,2
258,2
260,1
261,4
262,2
263,1
264,2
268,2
269,3
271,1
272,1
274,2
276,2
278,3
279,5
280,1
284,2
287,1
288,3
290,1
292,2
293,3
295,1
296,1
297,3
299,1
300,1
302,2
303,1
305,3
307,1
308,3
310,1
312,1
313,2
314,2
316,2
318,1
319,1
320,1
321,1
322,1
324,1
325,1
327,2
328,2
329,2
330,5
331,1
332,2
333,1
334,1
335,2
336,1
338,2
340,3
341,2
343,1
344,2
346,1
348,1
349,1
351,2
352,1
353,1
355,2
356,1
358,2
359,2
360,1
361,4
362,2
363,2
366,1
367,1
368,1
369,2
370,1
371,1
373,1
377,1
378,2
379,1
380,1
381,3
385,3
386,3
387,1
388,1
389,4
392,1
393,1
395,5
396,2
397,2
398,1
400,1
402,1
405,1
406,2
407,1
410,1
411,1
412,1
414,1
417,2
418,1
419,1
422,1
423,4
424,4
425,2
426,2
428,1
429,1
430,1
432,1
433,2
435,1
437,4
438,1
439,1
440,1
441,1
442,2
443,3
444,2
448,1
449,1
450,1
451,2
452,3
454,1
456,1
457,2
458,2
459,3
460,3
461,1
462,5
463,2
464,1
465,2
467,2
468,2
469,2
470,1
471,1
472,1
473,1
475,3
476,3
477,4
478,1
479,3
480,2
481,1
486,1
487,2
489,2
491,3
492,3
493,2
494,1
495,1
496,1
497,1
498,1
501,2
502,6
503,3
504,1
505,1
507,1
508,2
509,2
510,1
511,1
512,1
513,1
514,5
515,1
516,5
517,2
523,1
525,2
526,3
528,2
530,1
531,2
532,1
534,1
535,2
536,1
539,1
540,2
541,2
542,1
543,1
544,1
545,1
548,1
549,2
550,2
551,1
552,3
557,2
558,3
565,2
568,2
569,2
571,2
572,1
573,1
574,1
575,3
577,1
578,1
580,1
581,1
582,1
584,1
585,1
586,1
587,3
588,1
589,1
590,1
594,1
595,1
596,1
597,1
598,2
599,1
600,1
602,3
604,4
608,2
609,1
610,1
611,2
613,5
617,1
618,1
619,1
620,2
621,1
622,1
627,3
628,2
629,1
630,2
631,2
632,3
633,1
634,1
636,2
637,1
638,4
640,2
641,1
642,2
643,1
644,1
645,1
647,2
648,2
651,3
652,1
653,2
654,3
655,3
658,1
659,2
660,1
661,1
663,1
664,2
668,2
669,3
670,1
671,2
672,3
673,1
674,1
675,1
676,1
677,2
678,1
681,1
682,3
683,1
684,1
686,2
687,4
688,2
689,2
691,1
692,1
693,1
694,3
696,1
698,1
699,2
700,1
701,1
702,3
703,2
704,2
705,2
706,2
708,2
710,3
713,2
714,2
716,3
717,2
718,1
719,1
720,2
722,1
725,2
726,1
727,1
729,1
730,1
731,4
732,1
734,4
735,1
738,2
740,2
741,1
742,1
743,3
744,1
745,1
746,1
747,3
748,2
749,1
751,2
752,3
753,1
754,1
755,1
757,2
758,4
759,1
760,3
761,1
762,2
763,1
765,1
766,1
769,2
770,1
771,1
775,2
776,1
777,1
778,2
783,2
784,2
785,1
786,1
787,1
789,4
790,1
791,1
792,1
793,1
796,2
797,1
798,1
800,3
801,1
802,2
803,3
804,1
805,1
807,1
809,1
810,1
812,2
815,1
816,1
817,2
818,1
820,2
823,1
824,1
826,1
827,3
828,3
831,1
832,3
833,2
836,1
837,1
838,3
839,3
840,2
842,1
844,3
845,1
846,3
847,3
848,4
850,1
852,1
853,2
854,1
855,1
856,1
857,1
858,2
859,1
860,1
861,1
862,1
863,3
864,2
865,2
866,1
868,1
869,1
870,3
872,1
873,1
874,1
878,1
879,1
880,3
881,1
882,1
883,3
884,3
886,1
888,1
889,3
891,2
893,1
894,1
896,4
898,1
899,2
902,3
903,1
904,5
905,1
906,3
907,1
909,1
910,1
912,1
913,1
914,1
916,1
918,1
919,2
922,1
923,3
924,4
925,1
926,1
927,2
928,1
930,2
931,1
932,1
934,1
936,1
938,1
939,1
940,3
942,2
943,6
945,1
946,2
947,1
948,2
949,2
951,3
953,2
955,1
956,2
957,2
958,2
959,2
960,1
961,1
962,1
963,1
964,1
965,2
967,1
968,1
970,1
972,1
973,3
974,1
975,2
976,2
977,1
979,1
980,1
981,1
982,1
985,3
987,2
988,1
989,2
990,1
991,1
992,1
993,2
994,1
995,1
996,3
998,1
1000,1
