passenger,start,end,time
1,1,4,0
2,2,5,0
3,1,3,0
4,2,5,1
5,1,4,1
6,2,3,1
7,0,3,1
8,0,1,1
9,1,5,2
10,1,2,2
11,1,3,2
12,2,3,2
13,2,4,2
14,2,4,3
15,2,3,3
16,1,5,3
17,0,3,3
18,0,4,4
19,2,4,4
20,0,2,5
21,1,2,5
22,2,3,5
23,1,3,5
24,1,4,6
25,2,5,6
26,2,4,6
27,0,5,6
28,1,5,7
29,1,4,7
30,2,3,7
31,2,3,8
32,1,4,8
33,3,5,8
34,3,4,8
35,1,3,8
36,0,2,8
37,2,5,9
38,1,4,9
39,2,5,9
40,0,5,10
41,1,3,10
42,2,3,10
43,2,3,10
44,2,3,11
45,1,2,11
46,1,2,11
47,4,5,11
48,4,5,12
49,1,3,12
50,4,5,12
51,2,3,12
52,2,3,12
53,2,4,12
54,2,3,12
55,0,2,12
56,2,5,12
57,3,5,13
58,0,2,13
59,2,5,13
60,0,1,13
61,4,5,13
62,1,4,13
63,0,1,13
64,2,5,13
65,0,5,14
66,0,2,14
67,1,5,14
68,0,5,14
69,1,2,14
70,2,4,14
71,1,4,15
72,1,3,15
73,3,5,15
74,1,5,15
75,1,5,15
76,0,1,16
77,1,5,16
78,0,4,16
79,3,5,16
80,4,5,17
81,3,4,17
82,1,4,17
83,1,4,18
84,1,5,18
85,0,1,18
86,1,5,19
87,0,3,19
88,3,4,19
89,2,4,19
90,0,2,20
91,3,4,20
92,2,5,20
93,0,5,20
94,0,4,20
95,2,4,21
96,1,2,21
97,0,1,21
98,1,3,21
99,1,3,22
100,1,4,22
101,1,5,22
102,1,2,22
103,0,5,23
104,2,4,23
105,0,3,23
106,2,3,23
107,1,5,24
108,1,5,24
109,1,2,24
110,2,4,25
111,0,3,25
112,2,4,25
113,2,3,26
114,0,4,27
115,0,3,27
116,2,3,27
117,3,5,27
118,1,4,27
119,4,5,28
120,1,3,28
121,1,2,28
122,1,2,28
123,0,1,29
124,4,5,29
125,2,4,29
126,0,4,30
127,0,1,31
128,2,5,31
129,2,4,31
130,4,5,31
131,0,4,31
132,1,5,31
133,0,4,32
134,3,5,32
135,2,5,32
136,0,1,33
137,2,4,33
138,0,4,34
139,0,2,34
140,0,1,34
141,2,4,34
142,1,2,34
143,3,5,34
144,2,4,35
145,3,4,35
146,3,5,35
147,2,4,35
148,1,4,35
149,0,2,35
150,0,3,35
151,0,1,35
152,2,4,35
153,0,3,35
154,3,4,36
155,1,4,36
156,0,4,36
157,0,1,36
158,2,3,37
159,2,3,37
160,1,4,37
161,2,3,37
162,0,5,37
163,0,3,37
164,0,4,37
165,0,2,37
166,1,5,38
167,1,4,38
168,2,4,38
169,0,2,39
170,1,5,39
171,1,4,39
172,2,5,39
173,2,3,39
174,1,2,39
175,1,2,39
176,1,2,40
177,0,5,40
178,4,5,40
179,1,2,40
180,4,5,41
181,1,5,41
182,3,5,41
183,1,5,41
184,0,5,41
185,0,4,42
186,0,2,44
187,1,3,44
188,1,3,44
189,0,1,44
190,2,5,44
191,1,2,45
192,2,5,45
193,3,4,45
194,0,2,45
195,0,3,45
196,2,4,46
197,3,5,46
198,2,3,46
199,2,3,46
200,0,5,46
201,1,3,46
202,0,1,47
203,1,5,47
204,1,3,47
205,0,5,48
206,2,3,48
207,1,4,48
208,2,4,49
209,0,2,49
210,2,4,49
