Time,Sum1,Sum2,Sum3,Sum4,Sum5
0,7,15,15,2,0
10,12,16,12,5,5
20,10,13,9,2,2
30,19,11,14,5,1
40,11,11,8,3,2
50,11,15,18,2,2
60,7,17,11,2,1
70,8,10,11,3,1
80,12,8,11,1,2
90,10,11,11,1,1
100,20,12,10,1,4
110,11,12,9,1,1
120,10,6,17,5,1
130,12,10,17,2,0
140,12,15,8,3,3
150,11,11,13,3,3
160,12,16,13,2,2
170,8,15,3,3,2
180,8,16,11,2,3
190,16,10,15,2,2
200,14,10,8,2,3
210,11,11,12,2,2
220,15,13,9,2,1
230,8,14,13,4,3
240,10,15,14,0,1
250,9,13,10,2,1
260,16,15,15,3,2
270,13,14,14,5,2
280,15,7,11,2,3
290,12,12,17,2,3
300,11,11,19,2,2
310,14,10,6,0,2
320,10,11,7,2,0
330,9,15,22,2,1
340,12,11,16,2,2
350,10,11,9,1,0
360,8,14,17,5,1
370,10,7,13,1,2
380,10,16,15,2,1
390,11,12,9,0,4
400,8,6,4,0,2
410,15,8,14,2,0
420,11,15,11,2,4
430,13,11,9,2,6
440,14,11,10,3,4
450,19,15,12,0,1
460,13,20,15,3,1
470,14,18,13,2,2
480,14,8,13,2,2
490,10,13,13,5,3
500,11,18,11,1,3
510,12,17,14,2,5
520,12,8,11,2,1
530,11,9,6,3,5
540,13,11,14,2,2
550,9,11,16,3,2
560,8,6,11,0,3
570,18,10,7,4,0
580,10,11,12,2,1
590,17,8,9,0,3
600,10,11,15,1,2
610,17,11,6,1,1
620,9,10,7,2,3
630,9,16,14,2,1
640,12,12,9,3,0
650,9,15,14,3,0
660,13,10,10,2,1
670,7,13,14,1,0
680,11,16,9,3,0
690,11,10,15,1,3
700,5,15,16,3,3
710,10,14,12,0,0
720,6,8,17,2,1
730,12,13,11,3,6
740,9,16,11,1,3
750,10,15,4,1,2
760,8,11,15,3,0
770,9,8,11,5,5
780,13,11,16,2,5
790,8,8,13,2,1
800,21,13,13,0,3
810,11,8,15,2,0
820,22,11,12,2,1
830,9,14,19,1,2
840,12,17,10,0,2
850,20,11,12,1,1
860,17,13,13,4,2
870,9,8,12,3,1
880,14,16,11,3,2
890,8,11,9,4,0
900,18,15,12,1,2
910,10,8,12,2,3
920,10,13,12,4,3
930,12,8,12,0,0
940,14,19,16,0,0
950,9,14,12,1,1
960,17,9,12,1,2
970,11,12,11,2,1
980,17,11,10,2,2
990,15,11,17,3,1
1000,1,1,0,0,0
